CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-00346,مشروع Carpenter-Best,أحمد السعودي,Mobile,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,04/07/2025,Open,Low,عمر حسان,29 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Security,YES,,Notification Service,23,6,7.0,YES,YES,High,High,0.102,0
CR-00347,مشروع بقشان-فصيل,عمر حسان,Integration,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,07/06/2025,In Progress,Medium,مريم خليل,13 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Performance,NO,,API Gateway,4,6,9.7,NO,YES,Low,Medium,0.121,1
CR-00348,مشروع حجار-العقيل,حسان الراشد,Backend,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,05/05/2025,In Progress,Low,زينب القرشي,16 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Schedule,NO,,Monitoring Dashboard,60,9,1.7,NO,YES,Low,Medium,0.779,1
CR-00349,مشروع الشايع Inc,عبدالعزيز الدوسري,Security,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,10/05/2025,Open,High,عبدالرحمن الحربي,6 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,,Database Server,10,4,7.8,YES,NO,Medium,Low,0.763,0
CR-00350,"مشروع Miller, Lucas and Williams",علي المالكي,Monitoring,تحسين سرعة تحميل الصفحات الرئيسية,21/06/2025,Open,Low,ليلى سعيد,28 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,NO,,Load Balancer,5,6,4.7,YES,YES,High,Medium,0.045,0
CR-00351,مشروع Warren-Bishop,عمر حسان,Mobile,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,25/05/2025,Needs Review,High,محمد الأحمد,2 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,NO,,Search Engine,24,8,3.8,NO,NO,High,Medium,0.65,1
CR-00352,مشروع Hardin-Hughes,يوسف محمود,Integration,تحسين أداء استعلامات قاعدة البيانات المعقدة,20/04/2025,In Progress,Medium,ليلى سعيد,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,NO,,Reporting System,47,4,2.8,NO,NO,Medium,Medium,0.379,1
CR-00353,"مشروع Harper, Mccormick and Holland",رقية الشمري,Integration,إضافة ميزة التصدير إلى ملفات Excel و PDF,28/04/2025,Open,Medium,أحمد السعودي,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,,SMS Gateway,10,8,4.3,YES,NO,Medium,High,0.0,0
CR-00354,مشروع آل خضير-المهيدب,إبراهيم العتيبي,Documentation,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,15/05/2025,Needs Review,Low,علي المالكي,18 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Quality,NO,,Audit System,64,1,5.7,NO,NO,High,Low,0.055,0
CR-00355,مشروع King-York,نور عبدالله,Documentation,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,12/06/2025,Complete,High,فاطمة علي,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Compliance,NO,19/06/2025,Search Engine,18,6,7.2,NO,NO,High,Medium,0.218,0
CR-00356,مشروع آل حسين-بن لادن,حسان الراشد,Monitoring,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,27/02/2025,In Progress,Low,خديجة المطيري,22 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,NO,,API Gateway,14,5,5.2,NO,YES,Medium,High,0.0,0
CR-00357,مشروع أبا الخيل-فصيل,عائشة الزهراني,Security,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,30/07/2025,Open,Medium,علي المالكي,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Compliance,NO,,SMS Gateway,35,3,6.1,NO,NO,Low,Low,0.227,0
CR-00358,مشروع Larson Inc,علي المالكي,Monitoring,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,21/07/2025,Rejected,Medium,خالد إبراهيم,6 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Quality,NO,,Notification Service,21,8,8.3,NO,NO,Medium,High,0.141,0
CR-00359,"مشروع Bennett, Conner and Li",رقية الشمري,Configuration,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,10/04/2025,Open,Low,حسان الراشد,14 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,,CDN Service,68,7,1.9,NO,YES,Low,Medium,0.16,0
CR-00360,"مشروع كانو, الراشد and المشاولة",محمد الأحمد,Database,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,06/04/2025,In Progress,Medium,عائشة الزهراني,9 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,NO,,API Gateway,34,6,1.2,YES,NO,Medium,Low,0.752,1
CR-00361,مشروع Cox and Sons,محمد الأحمد,Security,إضافة نظام مراقبة الأداء في الوقت الفعلي,27/03/2025,Approved,Medium,إبراهيم العتيبي,8 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Compliance,NO,06/04/2025,Monitoring Dashboard,40,2,4.4,NO,NO,Medium,High,0.394,1
CR-00362,مشروع العليان-آل عطفة,عمر حسان,Documentation,إضافة ميزة التصفية المتقدمة في نظام البحث العام,08/05/2025,Approved,Low,نور عبدالله,15 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,NO,29/05/2025,Web Server,45,6,3.9,NO,NO,Medium,High,0.189,0
CR-00363,مشروع آل سلطان Inc,عائشة الزهراني,Analytics,تحديث بروتوكولات الأمان للشبكة الداخلية,09/05/2025,Rejected,Medium,عبدالعزيز الدوسري,14 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,,Reporting System,45,7,2.5,YES,NO,Low,Medium,0.219,0
CR-00364,مشروع Romero PLC,علي المالكي,Frontend,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,01/03/2025,Rejected,Medium,فاطمة علي,9 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,NO,,Notification Service,48,9,1.5,YES,NO,High,Medium,0.325,1
CR-00365,"مشروع الجابر, حنبولي and آل سعود",علي المالكي,Mobile,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,05/06/2025,Approved,Medium,ليلى سعيد,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Resources,NO,13/06/2025,Authentication Service,20,8,6.6,YES,NO,Low,High,0.0,0
CR-00366,مشروع Martin Ltd,محمد الأحمد,Mobile,تحديث نظام المصادقة الثنائية لمزيد من الأمان,29/03/2025,In Progress,Low,عبدالرحمن الحربي,10 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,,Mobile Application,6,9,5.0,YES,NO,Low,Low,0.099,0
CR-00367,"مشروع الشايع, آل بن ظافر and الدباغ",مريم خليل,Mobile,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,21/08/2025,Approved,Critical,رقية الشمري,3 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Scope,NO,30/08/2025,Mobile Application,8,2,5.0,YES,YES,Medium,Low,0.357,0
CR-00368,"مشروع Ball, Montes and Bishop",خالد إبراهيم,Configuration,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,28/05/2025,Open,Low,مريم خليل,14 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Budget,NO,,Reporting System,40,8,9.5,NO,NO,Medium,Medium,0.003,0
CR-00369,مشروع Ferguson LLC,خديجة المطيري,Infrastructure,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,26/06/2025,In Progress,Low,يوسف محمود,23 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,User Management System,39,7,3.2,NO,YES,Low,Medium,0.679,0
CR-00370,مشروع Richardson PLC,إبراهيم العتيبي,Configuration,إضافة ميزة البحث الصوتي في التطبيق,08/08/2025,In Progress,Medium,أسماء الغامدي,8 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Resources,NO,,Analytics Platform,20,5,6.8,YES,NO,Medium,Low,0.0,0
CR-00371,مشروع Hammond-Strickland,عبدالرحمن الحربي,Infrastructure,إضافة ميزة التصدير إلى ملفات Excel و PDF,10/07/2025,Rejected,Low,عبدالرحمن الحربي,16 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Compliance,NO,,Backup System,10,4,3.9,NO,YES,Low,Medium,0.355,1
CR-00372,مشروع Montoya PLC,خالد إبراهيم,Database,إصلاح مشكلة في عرض التقارير المالية,03/04/2025,Open,Medium,عبدالرحمن الحربي,5 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Budget,YES,,Search Engine,15,4,1.8,NO,YES,Low,Medium,0.592,1
CR-00373,مشروع آل بن لافي-فصيل,عائشة الزهراني,Documentation,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,27/02/2025,In Progress,Critical,سارة محمد,2 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Schedule,YES,,API Gateway,7,3,1.5,YES,NO,High,Low,0.393,0
CR-00374,مشروع Spencer-Garcia,علي المالكي,API,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,04/06/2025,Open,Critical,فاطمة علي,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Scope,NO,,Search Engine,3,7,7.9,NO,YES,Medium,Medium,0.858,1
CR-00375,مشروع آل حسين-آل صفوان,يوسف محمود,Backend,تحديث نظام المصادقة الثنائية لمزيد من الأمان,17/06/2025,Open,Low,علي المالكي,16 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Resources,NO,,Payment Gateway,60,6,2.4,NO,NO,Low,Medium,0.721,1
CR-00376,مشروع Whitehead-Hernandez,عائشة الزهراني,Analytics,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,06/03/2025,Approved,Low,يوسف محمود,26 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,05/04/2025,Search Engine,17,7,3.9,NO,YES,Medium,Low,0.044,0
CR-00377,مشروع Potts and Sons,رقية الشمري,Infrastructure,إصلاح مشكلة في عرض التقارير المالية,07/04/2025,Approved,Critical,أسماء الغامدي,1 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Performance,NO,11/04/2025,Audit System,7,2,3.2,NO,NO,Low,Low,0.803,1
CR-00378,مشروع Arias-Perry,خالد إبراهيم,API,إصلاح مشكلة في عرض التقارير المالية,01/07/2025,Open,Medium,خديجة المطيري,10 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,YES,,Monitoring Dashboard,44,8,3.1,NO,NO,High,Medium,0.518,1
CR-00379,"مشروع Brooks, Hughes and Miller",خالد إبراهيم,Monitoring,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,16/07/2025,In Progress,Low,سارة محمد,24 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Compliance,NO,,SMS Gateway,26,9,3.7,NO,YES,Medium,Medium,0.106,0
CR-00380,مشروع أبو داوود Inc,أسماء الغامدي,Documentation,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,21/08/2025,Complete,Critical,نور عبدالله,3 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,NO,29/08/2025,API Gateway,3,8,3.7,NO,NO,Medium,Medium,0.0,0
CR-00381,مشروع Taylor LLC,نور عبدالله,Mobile,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,02/05/2025,On Hold,Medium,أسماء الغامدي,12 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,NO,,SMS Gateway,4,6,7.5,NO,NO,Medium,High,0.133,0
CR-00382,"مشروع Guerra, Blake and Harrison",مريم خليل,Mobile,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,11/08/2025,Complete,Medium,زينب القرشي,8 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Performance,NO,26/08/2025,Analytics Platform,37,2,1.9,NO,YES,Low,High,0.13,0
CR-00383,مشروع آل العسكري LLC,رقية الشمري,API,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,11/08/2025,Open,Low,فاطمة علي,14 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,Payment Gateway,24,8,5.7,YES,YES,Medium,Medium,0.562,1
CR-00384,مشروع المهيدب Ltd,يوسف محمود,Integration,تحسين سرعة تحميل الصفحات الرئيسية,22/08/2025,Approved,Low,رقية الشمري,11 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,NO,05/09/2025,Reporting System,48,1,4.2,NO,YES,High,Medium,0.282,1
CR-00385,مشروع Parsons and Sons,مريم خليل,Security,إضافة ميزة التصفية المتقدمة في نظام البحث العام,10/06/2025,Open,Medium,يوسف محمود,14 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Schedule,NO,,Payment Gateway,21,2,7.5,NO,YES,Medium,Low,0.059,0
